"StateCode","StateName","CountyName","CountyFIPSCode","zip_code"
"NY2","New York - New York City Vicinity","SUFFOLK","36103","00501"
"NY2","New York - New York City Vicinity","SUFFOLK","36103","00544"
"PR0","Puerto Rico","ADJUNTAS","72001","00601"
"PR0","Puerto Rico","AGUADA","72003","00602"
"PR0","Puerto Rico","AGUADILLA","72005","00603"
"PR0","Puerto Rico","AGUADILLA","72005","00604"
"PR0","Puerto Rico","AGUADILLA","72005","00605"
"PR0","Puerto Rico","MARICAO","72093","00606"
"PR0","Puerto Rico","ANASCO","72011","00610"
"PR0","Puerto Rico","UTUADO","72141","00611"
"PR0","Puerto Rico","ARECIBO","72013","00612"
"PR0","Puerto Rico","ARECIBO","72013","00613"
"PR0","Puerto Rico","ARECIBO","72013","00614"
"PR0","Puerto Rico","ARECIBO","72013","00616"
"PR0","Puerto Rico","BARCELONETA","72017","00617"
"PR0","Puerto Rico","CABO ROJO","72023","00622"
"PR0","Puerto Rico","CABO ROJO","72023","00623"
"PR0","Puerto Rico","PENUELAS","72111","00624"
"PR0","Puerto Rico","CAMUY","72027","00627"
"PR0","Puerto Rico","LARES","72081","00631"
"PR0","Puerto Rico","SAN GERMAN","72125","00636"
"PR0","Puerto Rico","SABANA GRANDE","72121","00637"
"PR0","Puerto Rico","CIALES","72039","00638"
"PR0","Puerto Rico","UTUADO","72141","00641"
"PR0","Puerto Rico","DORADO","72051","00646"
"PR0","Puerto Rico","GUANICA","72055","00647"
"PR0","Puerto Rico","FLORIDA","72054","00650"
"PR0","Puerto Rico","ARECIBO","72013","00652"
"PR0","Puerto Rico","GUANICA","72055","00653"
"PR0","Puerto Rico","GUAYANILLA","72059","00656"
"PR0","Puerto Rico","HATILLO","72065","00659"
"PR0","Puerto Rico","HORMIGUEROS","72067","00660"
"PR0","Puerto Rico","ISABELA","72071","00662"
"PR0","Puerto Rico","JAYUYA","72073","00664"
"PR0","Puerto Rico","LAJAS","72079","00667"
"PR0","Puerto Rico","LARES","72081","00669"
"PR0","Puerto Rico","ANASCO","72011","00670"
"PR0","Puerto Rico","CAMUY","72027","00670"
"PR0","Puerto Rico","LAS MARIAS","72083","00670"
"PR0","Puerto Rico","MANATI","72091","00674"
"PR0","Puerto Rico","MOCA","72099","00676"
"PR0","Puerto Rico","RINCON","72117","00677"
"PR0","Puerto Rico","QUEBRADILLAS","72115","00678"
"PR0","Puerto Rico","MAYAGUEZ","72097","00680"
"PR0","Puerto Rico","MAYAGUEZ","72097","00681"
"PR0","Puerto Rico","MAYAGUEZ","72097","00682"
"PR0","Puerto Rico","SAN GERMAN","72125","00683"
"PR0","Puerto Rico","SAN SEBASTIAN","72131","00685"
"PR0","Puerto Rico","MOROVIS","72101","00687"
"PR0","Puerto Rico","ARECIBO","72013","00688"
"PR0","Puerto Rico","AGUADILLA","72005","00690"
"PR0","Puerto Rico","VEGA ALTA","72143","00692"
"PR0","Puerto Rico","VEGA BAJA","72145","00693"
"PR0","Puerto Rico","VEGA ALTA","72143","00694"
"PR0","Puerto Rico","VEGA BAJA","72145","00694"
"PR0","Puerto Rico","YAUCO","72153","00698"
"PR0","Puerto Rico","AGUAS BUENAS","72007","00703"
"PR0","Puerto Rico","GUAYAMA","72057","00704"
"PR0","Puerto Rico","SALINAS","72123","00704"
"PR0","Puerto Rico","AIBONITO","72009","00705"
"PR0","Puerto Rico","MAUNABO","72095","00707"
"PR0","Puerto Rico","ARROYO","72015","00714"
"PR0","Puerto Rico","PONCE","72113","00715"
"PR0","Puerto Rico","PONCE","72113","00716"
"PR0","Puerto Rico","PONCE","72113","00717"
"PR0","Puerto Rico","NAGUABO","72103","00718"
"PR0","Puerto Rico","NARANJITO","72105","00719"
"PR0","Puerto Rico","OROCOVIS","72107","00720"
"PR0","Puerto Rico","RIO GRANDE","72119","00721"
"PR0","Puerto Rico","PATILLAS","72109","00723"
"PR0","Puerto Rico","CAGUAS","72025","00725"
"PR0","Puerto Rico","CAGUAS","72025","00726"
"PR0","Puerto Rico","CAGUAS","72025","00727"
"PR0","Puerto Rico","PONCE","72113","00728"
"PR0","Puerto Rico","CANOVANAS","72029","00729"
"PR0","Puerto Rico","PONCE","72113","00730"
"PR0","Puerto Rico","PONCE","72113","00731"
"PR0","Puerto Rico","PONCE","72113","00732"
"PR0","Puerto Rico","PONCE","72113","00733"
"PR0","Puerto Rico","PONCE","72113","00734"
"PR0","Puerto Rico","CEIBA","72037","00735"
"PR0","Puerto Rico","CAYEY","72035","00736"
"PR0","Puerto Rico","CAYEY","72035","00737"
"PR0","Puerto Rico","FAJARDO","72053","00738"
"PR0","Puerto Rico","CIDRA","72041","00739"
"PR0","Puerto Rico","FAJARDO","72053","00740"
"PR0","Puerto Rico","HUMACAO","72069","00741"
"PR0","Puerto Rico","CEIBA","72037","00742"
"PR0","Puerto Rico","NAGUABO","72103","00744"
"PR0","Puerto Rico","CANOVANAS","72029","00745"
"PR0","Puerto Rico","HUMACAO","72069","00745"
"PR0","Puerto Rico","RIO GRANDE","72119","00745"
"PR0","Puerto Rico","SALINAS","72123","00751"
"PR0","Puerto Rico","SAN LORENZO","72129","00754"
"PR0","Puerto Rico","SANTA ISABEL","72133","00757"
"PR0","Puerto Rico","VIEQUES","72147","00765"
"PR0","Puerto Rico","VILLALBA","72149","00766"
"PR0","Puerto Rico","YABUCOA","72151","00767"
"PR0","Puerto Rico","COAMO","72043","00769"
"PR0","Puerto Rico","LAS PIEDRAS","72085","00771"
"PR0","Puerto Rico","LOIZA","72087","00772"
"PR0","Puerto Rico","LUQUILLO","72089","00773"
"PR0","Puerto Rico","CULEBRA","72049","00775"
"PR0","Puerto Rico","JUNCOS","72077","00777"
"PR0","Puerto Rico","GURABO","72063","00778"
"PR0","Puerto Rico","PONCE","72113","00780"
"PR0","Puerto Rico","COMERIO","72045","00782"
"PR0","Puerto Rico","COROZAL","72047","00783"
"PR0","Puerto Rico","GUAYAMA","72057","00784"
"PR0","Puerto Rico","GUAYAMA","72057","00785"
"PR0","Puerto Rico","GUAYANILLA","72059","00785"
"PR0","Puerto Rico","AIBONITO","72009","00786"
"PR0","Puerto Rico","HUMACAO","72069","00791"
"PR0","Puerto Rico","HUMACAO","72069","00792"
"PR0","Puerto Rico","BARRANQUITAS","72019","00794"
"PR0","Puerto Rico","JUANA DIAZ","72075","00795"
"VI0","Virgin Islands","SAINT THOMAS","78030","00801"
"VI0","Virgin Islands","SAINT THOMAS","78030","00802"
"VI0","Virgin Islands","SAINT THOMAS","78030","00803"
"VI0","Virgin Islands","SAINT THOMAS","78030","00804"
"VI0","Virgin Islands","SAINT THOMAS","78030","00805"
"VI0","Virgin Islands","SAINT CROIX","78010","00820"
"VI0","Virgin Islands","SAINT CROIX","78010","00821"
"VI0","Virgin Islands","SAINT CROIX","78010","00822"
"VI0","Virgin Islands","SAINT CROIX","78010","00823"
"VI0","Virgin Islands","SAINT CROIX","78010","00824"
