"Contract_ID","Plan_ID","Cobrand_ID","Cobrand_name","Contract_Year"
"H5087","001","1","24 Hour Fitness","2019"
"H5087","002","1","24 Hour Fitness","2019"
"H5087","005","1","24 Hour Fitness","2019"
"H5087","016","1","24 Hour Fitness","2019"
"H5087","017","1","24 Hour Fitness","2019"
"H5087","023","1","24 Hour Fitness","2019"
"H0982","001","9","A&F Medical Services","2019"
"H0982","002","9","A&F Medical Services","2019"
"H0982","005","9","A&F Medical Services","2019"
"H0982","006","9","A&F Medical Services","2019"
"H0982","007","9","A&F Medical Services","2019"
"H0982","008","9","A&F Medical Services","2019"
"H0982","009","9","A&F Medical Services","2019"
"H0982","010","9","A&F Medical Services","2019"
"H1608","007","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1608","008","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1608","012","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1608","013","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1608","016","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1608","017","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1608","018","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1608","021","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1608","024","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1608","027","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1608","028","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1608","029","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1608","037","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1608","038","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","001","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H5471","069","10","A&L Clinic Center dba Diamond Care Medical Center","2019"
"H5471","068","10","A&L Clinic Center dba Diamond Care Medical Center","2019"
"H5471","067","10","A&L Clinic Center dba Diamond Care Medical Center","2019"
"H5471","065","10","A&L Clinic Center dba Diamond Care Medical Center","2019"
"H5471","064","10","A&L Clinic Center dba Diamond Care Medical Center","2019"
"H5471","069","2","7th Avenue Medical Plaza","2019"
"H5471","068","2","7th Avenue Medical Plaza","2019"
"H5471","067","2","7th Avenue Medical Plaza","2019"
"H5471","065","2","7th Avenue Medical Plaza","2019"
"H5471","064","2","7th Avenue Medical Plaza","2019"
"H5521","033","8",": Med Care","2019"
"H5521","033","7",": Internal Medicine Institute","2019"
"H5521","033","6",": InterAmerican Medical Center","2019"
"H5521","033","5",": I&B Medical Associates  Inc.","2019"
"H5521","033","4",": Healthways","2019"
"H5521","033","3",": Chen Neighborhood Medical Centers","2019"
"H1609","009","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","014","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","015","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","016","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","017","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","018","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","019","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","020","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","021","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","022","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","023","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","024","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","025","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","026","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","027","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1609","028","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1692","002","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1692","003","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H1692","004","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H2663","002","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H2663","005","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H2663","006","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H2663","015","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H2663","016","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H2663","017","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H2663","032","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3152","022","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3152","048","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3152","080","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3152","082","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3152","084","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3152","085","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3312","002","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3312","018","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3312","048","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3312","063","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3597","001","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3597","007","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3597","009","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3928","001","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3928","002","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","004","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","055","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","064","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","070","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","081","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","091","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","092","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","093","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","094","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","095","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","096","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","097","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","098","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","099","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","100","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","101","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","102","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","104","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","105","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","106","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","107","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","108","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","109","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","110","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","115","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","118","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","122","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","123","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","124","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","125","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","126","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","127","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","129","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3931","130","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3959","001","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3959","002","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3959","010","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3959","011","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3959","032","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3959","033","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3959","035","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3959","036","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3959","037","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3959","039","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3959","043","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3959","049","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H3959","051","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H4523","001","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H4523","015","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H4523","020","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H4523","021","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H4523","024","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H5302","011","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H5521","012","11","A-S MEDICATION SOLUTIONS-4003","2019"
"H5521","013","11","A-S MEDICATION SOLUTIONS-4003","2019"
