"contract_id","segment_id","plan_id","contract_year","language_id","plan_cvrg_typ_id","mnthly_prm","ann_ddctbl","icl_lmt","thrshld","copay_amt_inn_prefrd","copay_amt_inn_prefrd_lvl","coins_amt_inn_prefrd","coins_amt_inn_prefrd_lvl","copay_amt_inn_general","copay_amt_inn_general_lvl","coins_amt_inn_general","coins_amt_inn_general_lvl","copay_amt_mail_ordr_prefrd","copay_amt_mail_ordr_prefrd_lvl","coins_amt_mail_ordr_prefrd","coins_amt_mail_ordr_prefrd_lvl","copay_amt_mail_ordr_general","copay_amt_mail_ordr_general_lvl","coins_amt_mail_ordr_general","coins_amt_mail_ordr_general_lvl","is_mdcr_dfnd_std_yn","post_thrshld_mdcr_std_cost"
"90091","0","999","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"E0654","0","801","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"E3014","0","801","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"E3014","0","802","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"E4744","0","801","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0001","0","001","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0022","0","001","2019","1","4",".00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0028","0","004","2019","1","4",".00","225.00","3820.00","5100.00","$5 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","$5 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","007","2019","1","3",".00","230.00","3820.00","5100.00","$0 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","$0 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","011","2019","1","4",".00","150.00","3820.00","5100.00","$4 - $47","1","30% - 50%","1","Information Not Available","1","Information Not Available","1","$4 - $47","1","30% - 50%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","012","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0028","0","013","2019","1","4",".00","195.00","3820.00","5100.00","$6 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","$6 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","014","2019","1","4",".00",".00","3820.00","5100.00","$6 - $99","1","33%","1","Information Not Available","1","Information Not Available","1","$6 - $99","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","015","2019","1","3",".00","245.00","3820.00","5100.00","$0 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","$0 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","N","1"
