"Contract_ID","Plan_ID","Segment_ID","Contract_Year","Language_Name","Package_Description","Package_Sort","Category_Description","Service_Description","Service_Sort","Cost_Share"
"H0028","004","0","2019","English","Package #1","27","Preventive dental","Monthly Premium","80","$34.40"
"H0028","004","0","2019","English","Package #1","27","Comprehensive dental","Monthly Premium","80","$34.40"
"H0028","004","0","2019","English","Package #1","27","Preventive dental","Deductible","81","N/A"
"H0028","004","0","2019","English","Package #1","27","Comprehensive dental","Deductible","81","N/A"
"H0028","004","0","2019","Spanish","Paquete # 1","27","Odontológicos preventivos","Prima mensual","80","$34.40"
"H0028","004","0","2019","Spanish","Paquete # 1","27","Dentales integrals","Prima mensual","80","$34.40"
"H0028","004","0","2019","Spanish","Paquete # 1","27","Odontológicos preventivos","Deducible","81","N/A"
"H0028","004","0","2019","Spanish","Paquete # 1","27","Dentales integrals","Deducible","81","N/A"
"H0028","004","0","2019","English","Package #2","28","Preventive dental","Monthly Premium","80","$39.90"
"H0028","004","0","2019","English","Package #2","28","Comprehensive dental","Monthly Premium","80","$39.90"
"H0028","004","0","2019","English","Package #2","28","Preventive dental","Deductible","81","N/A"
"H0028","004","0","2019","English","Package #2","28","Comprehensive dental","Deductible","81","N/A"
"H0028","004","0","2019","Spanish","Paquete # 2","28","Odontológicos preventivos","Prima mensual","80","$39.90"
"H0028","004","0","2019","Spanish","Paquete # 2","28","Dentales integrals","Prima mensual","80","$39.90"
"H0028","004","0","2019","Spanish","Paquete # 2","28","Odontológicos preventivos","Deducible","81","N/A"
"H0028","004","0","2019","Spanish","Paquete # 2","28","Dentales integrals","Deducible","81","N/A"
"H0028","011","0","2019","English","Package #1","27","Preventive dental","Monthly Premium","80","$25.90"
"H0028","011","0","2019","English","Package #1","27","Comprehensive dental","Monthly Premium","80","$25.90"
"H0028","011","0","2019","English","Package #1","27","Preventive dental","Deductible","81","N/A"
"H0028","011","0","2019","English","Package #1","27","Comprehensive dental","Deductible","81","N/A"
"H0028","011","0","2019","Spanish","Paquete # 1","27","Odontológicos preventivos","Prima mensual","80","$25.90"
"H0028","011","0","2019","Spanish","Paquete # 1","27","Dentales integrals","Prima mensual","80","$25.90"
"H0028","011","0","2019","Spanish","Paquete # 1","27","Odontológicos preventivos","Deducible","81","N/A"
"H0028","011","0","2019","Spanish","Paquete # 1","27","Dentales integrals","Deducible","81","N/A"
"H0028","013","0","2019","English","Package #1","27","Eye exams","Monthly Premium","80","$15.30"
"H0028","013","0","2019","English","Package #1","27","Eyewear","Monthly Premium","80","$15.30"
"H0028","013","0","2019","English","Package #1","27","Eye exams","Deductible","81","N/A"
"H0028","013","0","2019","English","Package #1","27","Eyewear","Deductible","81","N/A"
"H0028","013","0","2019","Spanish","Paquete # 1","27","Exámenes oculares","Prima mensual","80","$15.30"
"H0028","013","0","2019","Spanish","Paquete # 1","27","Anteojos y lentes de contacto","Prima mensual","80","$15.30"
"H0028","013","0","2019","Spanish","Paquete # 1","27","Exámenes oculares","Deducible","81","N/A"
"H0028","013","0","2019","Spanish","Paquete # 1","27","Anteojos y lentes de contacto","Deducible","81","N/A"
"H0028","013","0","2019","English","Package #2","28","Preventive dental","Monthly Premium","80","$23.70"
"H0028","013","0","2019","English","Package #2","28","Comprehensive dental","Monthly Premium","80","$23.70"
"H0028","013","0","2019","English","Package #2","28","Preventive dental","Deductible","81","N/A"
"H0028","013","0","2019","English","Package #2","28","Comprehensive dental","Deductible","81","N/A"
"H0028","013","0","2019","Spanish","Paquete # 2","28","Odontológicos preventivos","Prima mensual","80","$23.70"
"H0028","013","0","2019","Spanish","Paquete # 2","28","Dentales integrals","Prima mensual","80","$23.70"
"H0028","013","0","2019","Spanish","Paquete # 2","28","Odontológicos preventivos","Deducible","81","N/A"
"H0028","013","0","2019","Spanish","Paquete # 2","28","Dentales integrals","Deducible","81","N/A"
"H0028","016","0","2019","English","Package #1","27","Preventive dental","Monthly Premium","80","$22.80"
